label,text,title
Stuning even for the non-gamer,This sound track was beautiful! It paints the senery in your mind so well I would recomend it even to people who hate vid. game music! I have played the game Chrono Cross but out of all of the games I have ever played it has the best music! It backs away from crude keyboarding and takes a fresher step with grate guitars and soulful orchestras. It would impress anyone who cares to listen! ^_^,
Easily the worst baseball game I've played,"My first indication that this wasn't going to be a great game was the lack of any kind of season mode/trading/etc. I grudgingly accepted that, due to the limitations of a portable cartridge-based game. Maybe it would be a fun pick-up-and-play game. Nope.The pitcher and batter both move like they're in slow motion. There are maybe 8-10 passed balls/wild pitches per game. Half the time, the AI fielders wait until a ball hits the ground before they start to chase it. The AI runners almost always wait for a ball to hit the ground before they start to run (and the baserunning in general is pretty moronic). Half of the opposing team's outs are ground balls to the pitcher. Fielding is disorienting, and there are no dives/leaps/etc. Curve balls break like 10 feet.The only positive thing I can say is that the graphics are decent for a handheld. This game isn't really worth purchasing at any price.",
Pantera is awesome,pre hibernation is the only song on the album i will listen to. because it is cool and it is by Pantera (one of my favorite bands).,
Durable,"The kids love these. I got them for Christmas and they were easy riding, got good distance, and once they got the hang of the controls around the house and outside into the mud puddles it went!",
Odyssey (VHS),"I needed this in a timely manner to replace the department video that had been misplaced. I ordered it the day before Thanksgiving, and it was shipped out to me the Friday after. It arrived in good condition in plenty of time for me to review before using it in the class room.",
"Long winded, dialog heavy","A long long meditation on death. If you like to hear professors droning on about their obsession with death, without being particularly witty or profound, read this. Delillo tries so hard to be deeply insightful about the nature of human obsession with death, that his characters just end up sounding stilted, pompous, and frankly, ridiculous. Sure there are some great moments and characters- like Heinrich, or Denise, but none of them gets enough screen time. The Airborne toxic event is squashed into a few rushed chapters, and even though the book isn't trying to be a disaster thriller, there was so much potential in the moments in the barracks, all wasted.",
Crucial Technology Ram,"Product was delivered in a timely manner, and works great. No reportable issues so far.",
Latin or Greek,"For the amateur boat builder there are few other books (no other books?) written for the novice to understanding and begin the process of turning sheets of line drawings into full size boat construction patterns. That said, I found the author's excessive use of boat builder's language somewhat egocentric. The nomenclature learning curve makes understanding this book something like learning algebra directly from Archimedes -- was that Latin or Greek?",
Full steam ahead,Great read for my kid...now it's time for my little train-lover to start learning some facts about trains. This seems to be just what I was looking for...,
Fun but somewhat poorly designed.,"The buttons are all alot of fun on this toy, but the problem is that when you touch one thing to make it play, and then hit another, the first one stops and the new one starts. My baby can't ever finish a sequence because she leans up on the other buttons which override what she just pressed!",
NO CUSTOMER SERVICE+NO REFUNDS=BUY TAXCUT,"OK, I'm something of a nut on the subject of corporate responsibility. In short, I have no problems with INTUIT doing anything they wnat with their software, as long as they give me enough knowledge to not buy thier product.ALL 1-800 numbers for Turbo Tax have been elmininated. In fact, I can find no phone number to talk to a live person even at my expense. They have an web-based portal to talk with a live agent that I have been trying to access since Thursday, with absolutely no success.This appears to be a very dishonest company. Even if their software were better (and I do not think that it is) I would suggest promoting a bit of corporate accountability by taking your hard earned money elsewhere.-glenn",
I bought it for my 9 Yr old Daughter,Whenever she puts it down I pick it up.....Cool little unit. I like the two screens,
Very Dangerous !!,"I purchased this a few months ago and had a terrible experience with it. The shelf the cup sits on is way too small and it makes the cup unstable when in place. I reached for the cup and it tipped over and I had horrible burns on my tummy where the hot coffee hit that took over a month to heal and now I have a nice scar from it. It was the worse burn I have ever had and although I know accidents happen, I am not a careless person at all and I didn't bump the cup hard enough that it would have tumped over.. Also the cup is top heavy because the bottom is so slender which contributed to the accident. It is just a terrible design on this item that makes it very unsafe.",
Elegant flatware for every day; Have it and love it.,"We have had the Colby pattern of Reed & Barton Stainless Steel flatware for about six years and we love it. The pieces are large and very solid, nothing like the cheap, ""tinny"" flatware you had in your first apartment (grin). The pattern is simple but elegant, very tasteful, and goes with every style dinnerware. Our pieces look brand-new and we do not hand-wash them -- they go in the dishwasher with everything else. I purchased two 45-piece sets and have never regretted it. Highly recommended.",
COOL PERFORMANCE,"FOR BLONDIE FANS, ASIDE FROM THE PLOT WICH IS COVERED BY OTHER REVIEWS, IT'S IMPORTANT TO NOTE SHE PERFORMS ONSTAGE WITH AN UNKNOWN BAND IN A SMOKEY DIVE IN GOTHAM CITY & HER VOICE'S GOLDEN ESSENCE IS STARTLINGLY CAPTURED. IF FOR NO OTHER REASON, THESE PERFORMANCES ARE WORTH THE PRICE OF ADMISSION, NOT ON ANY LP'S MIGHT I ADD!",
very poor quality,"ordered this after seeing it at the spa . very disappointed by the poor quality of material, running threads and clearly looked used . return policy is even worse . would not recommend this turban to anyone .",
It's great,"This is a very sturdy changing table. The shelves are sturdy and hold a lot. I like that the side of the shelves are enclosed, I think it gives it more stability. It came with the pad and strap. It's a little old fashioned looking but my daughter doesn't have a lot of money so function is more important that looks. This was an excellent price.",
one of the best moviesi have ever seen,"i thought that this move was amazing, the actring and the music was like nothing that i have ever seen before in my life. out of the three movies in the triogy blue is my favorite. And juliette is a extrodinary actress",
Television Advertising Was Misleading,"When i saw Elmo's spin-chair and in small print the words below the screen read ""Batteries Required"" I knew I just had to have this chair for my two year old that stood in awe each time she saw the commercial. Never did it say that the chair does not spin on its on as it twirled and twirled seat empty. So I went to Target where the ad said the chair could be found, only to discover they were sold out so I had to order online. That's when I found out why.Misleading, this chair was much too expensive to just sit there and say a couple Elmo phrases (which is what the batteries were for). Futhermore, our home is fully carpeted so needless to say, there weren't much spinning going on. Big disappointment. But hey, at least my girl have a nice lounging chair worth $20 at best though.",
